TOWN,"STREET
NUMBER",STREET NAME,"INTERSECTING
STREET","DATE
CLASSIFIED","DATE
REPAIRED","LEAK
GRADE",Merged addresses,,unrepaired leaks at the start of the year,29
NATICK,2,MARSTON,GLEN ST,24-Apr-2015,24-Apr-2015,1,2 MARSTON,,,
NEW BEDFORD,336,DAVIS,,24-Apr-2015,24-Apr-2015,2,336 DAVIS,,,
SHREWSBURY,78,HOLMAN,,24-Apr-2015,03-Sep-2015,2,78 HOLMAN,,,
ASHLAND,10,HIGLEY,E. UNION ST,24-Apr-2015,16-Oct-2015,2,10 HIGLEY,,,
UXBRIDGE,29,DOUGLAS,CARNEY ST,24-Apr-2015,25-Nov-2015,2,29 DOUGLAS,,,
WORCESTER,,ELLIOTT,@ MERRIFIELD ST,25-Apr-2015,02-Sep-2015,2,ELLIOTT,,,
NATICK,,OXFORD,@ WHITTIER RD,25-Apr-2015,21-Oct-2015,2,OXFORD,,,
WORCESTER,37,COBBLESTONE,,26-Apr-2015,26-Apr-2015,1,37 COBBLESTONE,,,
NORTHBORO,9,NELSON,DAVIS ST,26-Apr-2015,03-Jun-2015,2,9 NELSON,,,
CAMBRIDGE,76,KINNAIRD,PUTNAM AVE,27-Apr-2015,27-Apr-2015,1,76 KINNAIRD,,,
DARTMOUTH,251,FAUNCE CORNER,,27-Apr-2015,27-Apr-2015,1,251 FAUNCE CORNER,,,
FRAMINGHAM,182,SUMMER,BEACON ST,27-Apr-2015,27-Apr-2015,2,182 SUMMER,,,
MILFORD,24,PEARL,,27-Apr-2015,27-Apr-2015,1,24 PEARL,,,
NATICK,9,BURNING TREE,,27-Apr-2015,27-Apr-2015,1,9 BURNING TREE,,,
HOPKINTON,1-3,GRANDVIEW,,27-Apr-2015,28-Apr-2015,2,1-3 GRANDVIEW,,,
FAIRHAVEN,35,HACKER,CASCO ST,27-Apr-2015,03-Jun-2015,2,35 HACKER,,,
DEDHAM,159,BRIDGE,,28-Apr-2015,28-Apr-2015,2,159 BRIDGE,,,
HOPKINTON,4,SADIE,,28-Apr-2015,28-Apr-2015,2,4 SADIE,,,
MARLBORO,6,BROWN,HIGH ST,28-Apr-2015,28-Apr-2015,1,6 BROWN,,,
DEDHAM,81,PACELLA,,28-Apr-2015,29-Apr-2015,2,81 PACELLA,,,
HYDE PARK,109,WEST MILTON,READVILLE ST,28-Apr-2015,30-Jun-2015,2,109 WEST MILTON,,,
NATICK,39,CENTRE,,28-Apr-2015,19-Aug-2015,2,39 CENTRE,,,
WORCESTER,3,GREENLEAF,PLEASANT ST,28-Apr-2015,20-Aug-2015,2,3 GREENLEAF,,,
CAMBRIDGE,,MASSACHUSETTS,@ HARVEY ST,28-Apr-2015,17-Nov-2015,2,MASSACHUSETTS,,,
FRAMINGHAM,5-7,VERNON,OAK ST,29-Apr-2015,29-Apr-2015,1,5-7 VERNON,,,
NEW BEDFORD,69,SHORT,,29-Apr-2015,29-Apr-2015,1,69 SHORT,,,
NORTHBRIDGE,49,CHURCH,CROSS ST,29-Apr-2015,29-Apr-2015,1,49 CHURCH,,,
CAMBRIDGE,193,RINDGE,REED ST,29-Apr-2015,05-May-2015,2,193 RINDGE,,,
DEDHAM,,ELMWOOD,@ GRANT AVE,29-Apr-2015,05-May-2015,2,ELMWOOD,,,
CAMBRIDGE,4,CRAWFORD,,29-Apr-2015,06-May-2015,2,4 CRAWFORD,,,
HYDE PARK,938,METROPOLITAN,HIGHLAND ST,29-Apr-2015,12-May-2015,2,938 METROPOLITAN,,,
DARTMOUTH,13,MISHAWUM,@ SAMOSETT DR,29-Apr-2015,18-May-2015,2,13 MISHAWUM,,,
WORCESTER,,AUTUMN,,29-Apr-2015,06-Nov-2015,2,AUTUMN,,,
HOPKINTON,15,FROSTPANE,,30-Apr-2015,30-Apr-2015,2,15 FROSTPANE,,,
MARLBORO,75,NEIL,VALLEY ST,30-Apr-2015,30-Apr-2015,1,75 NEIL,,,
WORCESTER,93,MERRIFIELD,BELMONT ST,30-Apr-2015,30-Apr-2015,1,93 MERRIFIELD,,,
HYDE PARK,57,COMO,REYNOLD RD,30-Apr-2015,04-May-2015,2,57 COMO,,,
WEST BOYLSTON,OPP 342,WEST BOYLSTON,DANIELIAN DR,30-Apr-2015,06-May-2015,2,OPP 342 WEST BOYLSTON,,,
NEW BEDFORD,474,JOHN,,30-Apr-2015,12-May-2015,2,474 JOHN,,,
HOLLISTON,5,BIRCHWOOD,OAKRIDGE RD,30-Apr-2015,14-May-2015,2,5 BIRCHWOOD,,,
SHREWSBURY,232,PROSPECT,FOX HILL RD,30-Apr-2015,05-Jun-2015,2,232 PROSPECT,,,
WORCESTER,48,FOREST,WILTSHIRE DR,30-Apr-2015,27-Jul-2015,2,48 FOREST,,,
SOMERVILLE,,BROADWAY,@ LOWDEN AVE,30-Apr-2015,13-Nov-2015,2,BROADWAY,,,
NEW BEDFORD,465,BOLTON,,01-May-2015,01-May-2015,2,465 BOLTON,,,
WESTWOOD,12-16,SOUTHWEST,BOSTON PROVIDENCE HWY,01-May-2015,01-May-2015,1,12-16 SOUTHWEST,,,
WORCESTER,,ELLIOTT,@ MERRIFIELD ST,01-May-2015,01-May-2015,1,ELLIOTT,,,
FRAMINGHAM,770-792,WATER,,01-May-2015,04-May-2015,2,770-792 WATER,,,
HOPEDALE,93,DUTCHER,DENNETT ST,01-May-2015,09-Jun-2015,2,93 DUTCHER,,,
MARLBORO,602,BRIGHAM,GUNNAR DR,01-May-2015,08-Jul-2015,2,602 BRIGHAM,,,
WORCESTER,6,BECKMAN,,01-May-2015,17-Jul-2015,2,6 BECKMAN,,,
CAMBRIDGE,,STATE,@ 810 MAIN ST,01-May-2015,22-Sep-2015,2,STATE,,,
NEEDHAM,,GREAT PLAIN,@ LINDEN ST,02-May-2015,02-May-2015,1,GREAT PLAIN,,,
FRAMINGHAM,33,GLEASON,,04-May-2015,04-May-2015,1,33 GLEASON,,,
CAMBRIDGE,,MASSACHUSETTS,@ CHESTER ST,04-May-2015,06-May-2015,2,MASSACHUSETTS,,,
KINGSTON,4,PEARL,RIVERSIDE DR,04-May-2015,14-May-2015,2,4 PEARL,,,
DARTMOUTH,140,CROSS,,05-May-2015,05-May-2015,1,140 CROSS,,,
MARION,16-18,SOUTH,,05-May-2015,05-May-2015,1,16-18 SOUTH,,,
NEW BEDFORD,192,SAWYER,,05-May-2015,05-May-2015,2,192 SAWYER,,,
WORCESTER,4,RUTLAND,RUTLAND CIRCLE,05-May-2015,05-May-2015,1,4 RUTLAND,,,
MATTAPOISETT,85,FAIRHAVEN,MATTAPOISETT NECK RD,05-May-2015,07-May-2015,2,85 FAIRHAVEN,,,
DEDHAM,20,CHARLESBANK,,05-May-2015,14-Nov-2015,2,20 CHARLESBANK,,,
HOLLISTON,38,TRACY LYNN,,06-May-2015,06-May-2015,1,38 TRACY LYNN,,,
NEW BEDFORD,238,PRINCETON,,06-May-2015,06-May-2015,2,238 PRINCETON,,,
WORCESTER,392,JUNE,JUNE STREET TER,06-May-2015,07-May-2015,1,392 JUNE,,,
WORCESTER,130,JUNE,,06-May-2015,07-May-2015,1,130 JUNE,,,
SHREWSBURY,10,ANGELA,,06-May-2015,08-May-2015,2,10 ANGELA,,,
NORTHBRIDGE,4,WHITIN,,06-May-2015,09-Jul-2015,2,4 WHITIN,,,
NORTHBRIDGE,12,WHITIN,,06-May-2015,24-Aug-2015,2,12 WHITIN,,,
HUDSON,9,RIVERVIEW,RIVER ST,07-May-2015,07-May-2015,1,9 RIVERVIEW,,,
MARLBORO,7104-7303,TIMBERVIEW,,07-May-2015,07-May-2015,2,7104-7303 TIMBERVIEW,,,
NATICK,215,WEST CENTRAL,,07-May-2015,07-May-2015,1,215 WEST CENTRAL,,,
NEEDHAM,58,NORFOLK,,07-May-2015,07-May-2015,2,58 NORFOLK,,,
NEW BEDFORD,4674,ACUSHNET,COUNTY RD,07-May-2015,07-May-2015,1,4674 ACUSHNET,,,
SHREWSBURY,10,ANGELA,,07-May-2015,08-May-2015,2,10 ANGELA,,,
NEEDHAM,,OAKLAND,@ KINGSBURY ST,07-May-2015,04-Jun-2015,2,OAKLAND,,,
HOLLISTON,400,WASHINGTON,CURVE ST,08-May-2015,08-May-2015,1,400 WASHINGTON,,,
HOLLISTON,5,BIRCHWOOD,OAKRIDGE RD,08-May-2015,14-May-2015,2,5 BIRCHWOOD,,,
HUDSON,26,STRATTON,EATON DR,08-May-2015,18-May-2015,2,26 STRATTON,,,
DEDHAM,507,EAST,@ HIGH ST,08-May-2015,12-Nov-2015,2,507 EAST,,,
HOLLISTON,,WASHINGTON,CONCORD ST,08-May-2015,28-Dec-2015,2,WASHINGTON,,,
NATICK,44,PLEASANT,ST. THOMAS AVE,09-May-2015,09-May-2015,1,44 PLEASANT,,,
NATICK,44,PLEASANT,,09-May-2015,09-May-2015,1,44 PLEASANT,,,
WORCESTER,166,HOLDEN,@ SMITH LN,10-May-2015,10-May-2015,1,166 HOLDEN,,,
NATICK,50,PLEASANT,@ LOOKOUT FARM RD,10-May-2015,18-Jun-2015,2,50 PLEASANT,,,
CAMBRIDGE,24,BAY STATE,,11-May-2015,11-May-2015,1,24 BAY STATE,,,
MATTAPOISETT,9,DEEP WOODS,,11-May-2015,11-May-2015,1,9 DEEP WOODS,,,
FRAMINGHAM,29,GLEASON,KING ST,11-May-2015,14-May-2015,2,29 GLEASON,,,
DEDHAM,694,WASHINGTON,SYLVIA LN,11-May-2015,29-May-2015,2,694 WASHINGTON,,,
WORCESTER,12,LENOX,PLEASANT ST,11-May-2015,22-Jul-2015,2,12 LENOX,,,
ASHLAND,40,BIRCH HILL,CEDAR HILL RD,11-May-2015,19-Oct-2015,2,40 BIRCH HILL,,,
ASHLAND,44,BIRCH HILL,CEDAR HILL RD,11-May-2015,19-Oct-2015,2,44 BIRCH HILL,,,
ASHLAND,437,AMERICA,,12-May-2015,12-May-2015,1,437 AMERICA,,,
MARLBORO,260,EAST BOSTON POST,,12-May-2015,12-May-2015,1,260 EAST BOSTON POST,,,
MATTAPOISETT,87,FAIRHAVEN,MATTAPOISETT NECK RD,12-May-2015,12-May-2015,1,87 FAIRHAVEN,,,
NEW BEDFORD,12,LINCOLN,,12-May-2015,12-May-2015,2,12 LINCOLN,,,
WORCESTER,,MERRIFIELD,@ ELLIOT ST,12-May-2015,12-May-2015,1,MERRIFIELD,,,
FAIRHAVEN,,GREEN,@ PHOENIX ST,12-May-2015,22-May-2015,2,GREEN,,,
NATICK,5,TOURNAMENT,,12-May-2015,27-May-2015,2,5 TOURNAMENT,,,
NEEDHAM,14,ELLICOTT,EDGEWOOD ST,12-May-2015,28-Sep-2015,2,14 ELLICOTT,,,
WORCESTER,19,KENILWORTH,KENSINGTON HGTS,12-May-2015,19-Oct-2015,2,19 KENILWORTH,,,
CAMBRIDGE,316,RINDGE,,13-May-2015,13-May-2015,1,316 RINDGE,,,
PLYMOUTH,35-117,BOATWRIGHT'S LOOP,,13-May-2015,13-May-2015,1,35-117 BOATWRIGHT'S LOOP,,,
DEDHAM,45,TARBOX,,13-May-2015,14-May-2015,2,45 TARBOX,,,
MARLBORO,492,HOSMER,PRINCESS RD,13-May-2015,15-May-2015,2,492 HOSMER,,,
MATTAPOISETT,83,FAIRHAVEN,MATTAPOISETT NECK RD,13-May-2015,01-Jun-2015,2,83 FAIRHAVEN,,,
MARION,13,NOKOMIS,,13-May-2015,10-Jun-2015,2,13 NOKOMIS,,,
WORCESTER,75,PLEASANT,CHESTNUT ST,13-May-2015,15-Sep-2015,2,75 PLEASANT,,,
WORCESTER,147,CANTERBURY,,13-May-2015,09-Nov-2015,2,147 CANTERBURY,,,
WORCESTER,243,CANTERBURY,,13-May-2015,14-Nov-2015,2,243 CANTERBURY,,,
CAMBRIDGE,175,FAYERWEATHER,,14-May-2015,14-May-2015,2,175 FAYERWEATHER,,,
NATICK,25,KINSMAN,,14-May-2015,14-May-2015,1,25 KINSMAN,,,
NATICK,107,NORTH MAIN,,14-May-2015,14-May-2015,2,107 NORTH MAIN,,,
WORCESTER,,CRYSTAL,@ ILLINOIS ST,14-May-2015,14-May-2015,1,CRYSTAL,,,
DEDHAM,43,VETERANS,,14-May-2015,15-May-2015,1,43 VETERANS,,,
CAMBRIDGE,11,HURON,RAYMOND ST,14-May-2015,08-Dec-2015,2,11 HURON,,,
ACUSHNET,13,DARLING,,15-May-2015,15-May-2015,2,13 DARLING,,,
NEEDHAM,54,HAMPTON,ELLIS ST,15-May-2015,15-May-2015,1,54 HAMPTON,,,
NEW BEDFORD,986,TERRY,,15-May-2015,15-May-2015,2,986 TERRY,,,
CAMBRIDGE,2088,MASSACHUSETTS,WALDEN ST,15-May-2015,18-May-2015,1,2088 MASSACHUSETTS,,,
WORCESTER,357,MOWER,WESTMORELAND DR,15-May-2015,22-May-2015,2,357 MOWER,,,
MILFORD,9,GRANT,,15-May-2015,26-May-2015,2,9 GRANT,,,
DEDHAM,113,AMES,,16-May-2015,16-May-2015,1,113 AMES,,,
WORCESTER,178,PROUTY,,16-May-2015,16-May-2015,1,178 PROUTY,,,
DEDHAM,113,AMES,,16-May-2015,24-Oct-2015,2,113 AMES,,,
DARTMOUTH,6,FRANKLIN,,18-May-2015,18-May-2015,1,6 FRANKLIN,,,
KINGSTON,9,MAIN,,18-May-2015,18-May-2015,1,9 MAIN,,,
NEEDHAM,14,UNION,CRESCENT RD,18-May-2015,19-May-2015,1,14 UNION,,,
KINGSTON,10,MAIN,PECK ST,18-May-2015,29-May-2015,2,10 MAIN,,,
DEDHAM,80,ROBINWOOD,,19-May-2015,19-May-2015,2,80 ROBINWOOD,,,
DARTMOUTH,6,FRANKLIN,MIDDLE ST,19-May-2015,20-May-2015,2,6 FRANKLIN,,,
KINGSTON,19,CHIPMAN,,19-May-2015,05-Jun-2015,2,19 CHIPMAN,,,
DEDHAM,74,ROBINWOOD,,19-May-2015,10-Jun-2015,2,74 ROBINWOOD,,,
DEDHAM,71,PAUL,,19-May-2015,17-Oct-2015,2,71 PAUL,,,
MARLBORO,31,MOUNT PLEASANT,,20-May-2015,20-May-2015,1,31 MOUNT PLEASANT,,,
NATICK,319,SPEEN,SUPERIOR DR,20-May-2015,20-May-2015,1,319 SPEEN,,,
SOMERVILLE,50,WEBSTER,PROSPECT ST,20-May-2015,20-May-2015,2,50 WEBSTER,,,
WORCESTER,52-56,CHANDLER,IRVING ST,20-May-2015,20-May-2015,1,52-56 CHANDLER,,,
CAMBRIDGE,24,CLINTON,MASS AVE,21-May-2015,21-May-2015,1,24 CLINTON,,,
FRAMINGHAM,673,CONCORD,CORREGIDOR RD,21-May-2015,21-May-2015,1,673 CONCORD,,,
GRAFTON,16,CROSS,,21-May-2015,21-May-2015,1,16 CROSS,,,
HYDE PARK,23,RANLEY,,21-May-2015,21-May-2015,2,23 RANLEY,,,
KINGSTON,71,MAIN,ROYAL BURGUNDY LN,21-May-2015,27-Jul-2015,2,71 MAIN,,,
HOPKINTON,6,WOODVIEW,,22-May-2015,27-May-2015,2,6 WOODVIEW,,,
NEW BEDFORD,586,ELM,,22-May-2015,27-May-2015,2,586 ELM,,,
NATICK,679,WORCESTER,WETHERSFIELD RD,22-May-2015,01-Dec-2015,2,679 WORCESTER,,,
WORCESTER,1-3,ENAYA,,23-May-2015,23-May-2015,1,1-3 ENAYA,,,
WORCESTER,1-3,ENAYA,,24-May-2015,24-May-2015,1,1-3 ENAYA,,,
KINGSTON,28,RIVERSIDE,WILLOW ST,26-May-2015,26-May-2015,1,28 RIVERSIDE,,,
NEW BEDFORD,19,COLLINS,GLOVER ST,26-May-2015,26-May-2015,2,19 COLLINS,,,
FRAMINGHAM,107,SCHOOL,COTTAGE ST,26-May-2015,17-Jul-2015,2,107 SCHOOL,,,
MILFORD,114,WATER,PROSPECT ST,26-May-2015,08-Dec-2015,2,114 WATER,,,
HOLLISTON,87,MOHAWK,,27-May-2015,10-Jun-2015,2,87 MOHAWK,,,
MILFORD,160,CENTRAL,SOUTH BOW,27-May-2015,12-Dec-2015,2,160 CENTRAL,,,
NEEDHAM,300,FIRST,,27-May-2015,23-Dec-2015,2,300 FIRST,,,
MILFORD,170-174,MAIN,,28-May-2015,28-May-2015,1,170-174 MAIN,,,
WORCESTER,,CRYSTAL,@ ILLINOIS ST,28-May-2015,28-May-2015,1,CRYSTAL,,,
CAMBRIDGE,10,COTTAGE,PEARL ST,28-May-2015,07-Nov-2015,2,10 COTTAGE,,,
MARLBORO,175,BEACH,,28-May-2015,19-Nov-2015,2,175 BEACH,,,
FRAMINGHAM,240,DANFORTH,,29-May-2015,29-May-2015,1,240 DANFORTH,,,
KINGSTON,17,SUMMER,CENTER ST,29-May-2015,29-May-2015,1,17 SUMMER,,,
NATICK,61,SOUTH MAIN,WHALEN LN,29-May-2015,29-May-2015,1,61 SOUTH MAIN,,,
NEW BEDFORD,,DAVID,COUNTY ST,29-May-2015,29-May-2015,2,DAVID,,,
NEW BEDFORD,688,COUNTY,,29-May-2015,29-May-2015,2,688 COUNTY,,,
PLYMOUTH,10R,LEWIS,BAY VIEW ST,29-May-2015,29-May-2015,1,10R LEWIS,,,
SHREWSBURY,,CHILDS,,29-May-2015,29-May-2015,1,CHILDS,,,
NATICK,31,WEST CENTRAL,SPRING ST,29-May-2015,21-Dec-2015,2,31 WEST CENTRAL,,,
CAMBRIDGE,72-74,KIRKLAND,,30-May-2015,30-May-2015,1,72-74 KIRKLAND,,,
WORCESTER,730,PLEASANT,HUNTLEY ST,30-May-2015,30-May-2015,1,730 PLEASANT,,,
WORCESTER,8,BILTMORE,,31-May-2015,31-May-2015,1,8 BILTMORE,,,
CAMBRIDGE,205B,RINDGE,,01-Jun-2015,01-Jun-2015,1,205B RINDGE,,,
FRAMINGHAM,79,KENDALL,ALLA ST,01-Jun-2015,01-Jun-2015,1,79 KENDALL,,,
FRAMINGHAM,40,RIVERPATH,,01-Jun-2015,01-Jun-2015,1,40 RIVERPATH,,,
MILFORD,270,MAIN,,01-Jun-2015,01-Jun-2015,1,270 MAIN,,,
NEEDHAM,1594,GREAT PLAIN,,01-Jun-2015,01-Jun-2015,2,1594 GREAT PLAIN,,,
WORCESTER,60,QUINAPOXET,,01-Jun-2015,05-Oct-2015,2,60 QUINAPOXET,,,
WORCESTER,7,MARCY,WAMSUTTA AVE,03-Jun-2015,03-Jun-2015,1,7 MARCY,,,
WORCESTER,186,DOMINION,,03-Jun-2015,03-Jun-2015,1,186 DOMINION,,,
WORCESTER,119,HOPE,TROWBRIDGE CT,03-Jun-2015,05-Jun-2015,2,119 HOPE,,,
MARLBORO,407,COOK,BLAKE CIR,03-Jun-2015,02-Jul-2015,2,407 COOK,,,
MARLBORO,412,COOK,BLAKE CIR,03-Jun-2015,08-Jul-2015,2,412 COOK,,,
CAMBRIDGE,350,MASSACHUSETTS,,03-Jun-2015,13-Nov-2015,2,350 MASSACHUSETTS,,,
MARLBORO,388,COOK,SUNSHINE DR,03-Jun-2015,23-Nov-2015,2,388 COOK,,,
FRAMINGHAM,199,DANFORTH,,04-Jun-2015,04-Jun-2015,1,199 DANFORTH,,,
HYDE PARK,35,HALSEY,,04-Jun-2015,04-Jun-2015,2,35 HALSEY,,,
NATICK,58,PINE,@ DARBY CT,04-Jun-2015,04-Jun-2015,1,58 PINE,,,
NEW BEDFORD,127,MAXFIELD,,04-Jun-2015,04-Jun-2015,2,127 MAXFIELD,,,
NEW BEDFORD,157,MAXFIELD,,04-Jun-2015,04-Jun-2015,2,157 MAXFIELD,,,
NORTHBORO,76,LINCOLN,,04-Jun-2015,04-Jun-2015,1,76 LINCOLN,,,
WORCESTER,,WINTHROP,@ PROVIDENCE ST,04-Jun-2015,04-Jun-2015,1,WINTHROP,,,
SOMERVILLE,9,PORTER,,04-Jun-2015,08-Jul-2015,2,9 PORTER,,,
KINGSTON,161,SUMMER,,04-Jun-2015,27-Jul-2015,2,161 SUMMER,,,
FRAMINGHAM,16,BERKELEY,,04-Jun-2015,24-Oct-2015,2,16 BERKELEY,,,
WORCESTER,,FLAGG,@ 2 HIGHRIDGE RD,04-Jun-2015,27-Oct-2015,2,FLAGG,,,
FRAMINGHAM,106,CEDAR,,04-Jun-2015,13-Nov-2015,2,106 CEDAR,,,
FRAMINGHAM,77,BARBER,,05-Jun-2015,23-Jun-2015,2,77 BARBER,,,
WORCESTER,940,PLEASANT,S. FLAGG ST,06-Jun-2015,03-Nov-2015,2,940 PLEASANT,,,
NATICK,145,OAK,,07-Jun-2015,07-Jun-2015,1,145 OAK,,,
CAMBRIDGE,303,COLUMBIA,,08-Jun-2015,08-Jun-2015,1,303 COLUMBIA,,,
MARION,18,SOUTH,,08-Jun-2015,08-Jun-2015,1,18 SOUTH,,,
NEEDHAM,38,ELLICOTT,,08-Jun-2015,08-Jun-2015,1,38 ELLICOTT,,,
NEW BEDFORD,23,NELSON,,08-Jun-2015,08-Jun-2015,2,23 NELSON,,,
NEW BEDFORD,170,HIGHLAND,,08-Jun-2015,08-Jun-2015,2,170 HIGHLAND,,,
NEW BEDFORD,411,CEDAR,,08-Jun-2015,08-Jun-2015,2,411 CEDAR,,,
WORCESTER,6,GENEVA,CHANDLER ST,08-Jun-2015,27-Jul-2015,2,6 GENEVA,,,
KINGSTON,182,SUMMER,,08-Jun-2015,04-Aug-2015,2,182 SUMMER,,,
KINGSTON,21,TARKILN,SUMMER ST,08-Jun-2015,04-Aug-2015,2,21 TARKILN,,,
GRAFTON,8,LORDVALE,,08-Jun-2015,06-Aug-2015,2,8 LORDVALE,,,
MARLBORO,16-18,HIGH,,09-Jun-2015,09-Jun-2015,1,16-18 HIGH,,,
MILFORD,17,POND,,09-Jun-2015,09-Jun-2015,1,17 POND,,,
NEW BEDFORD,416-418,SUMMER,LINDEN ST,09-Jun-2015,09-Jun-2015,2,416-418 SUMMER,,,
GRAFTON,2A,BAILIN,,09-Jun-2015,06-Aug-2015,2,2A BAILIN,,,
WORCESTER,,MAIN,@ DOWNING ST,09-Jun-2015,03-Nov-2015,2,MAIN,,,
GRAFTON,3,NORTH MAIN,BRIDGE ST,10-Jun-2015,10-Jun-2015,1,3 NORTH MAIN,,,
KINGSTON,54-E,PEMBROKE,GROVE ST,10-Jun-2015,10-Jun-2015,1,54-E PEMBROKE,,,
WORCESTER,118,FAIRFIELD,PARK AVE,10-Jun-2015,10-Jun-2015,1,118 FAIRFIELD,,,
DEDHAM,,COLBURN,@ WHITEHALL ST,11-Jun-2015,11-Jun-2015,1,COLBURN,,,
FRAMINGHAM,37,OLIVER,,11-Jun-2015,11-Jun-2015,2,37 OLIVER,,,
NEW BEDFORD,69,VINE,,11-Jun-2015,11-Jun-2015,2,69 VINE,,,
NEW BEDFORD,399,SUMMER,,11-Jun-2015,11-Jun-2015,2,399 SUMMER,,,
FAIRHAVEN,45,CEDAR,,11-Jun-2015,19-Aug-2015,2,45 CEDAR,,,
CAMBRIDGE,138,MOUNT AUBURN,HILLIARD ST,11-Jun-2015,25-Aug-2015,2,138 MOUNT AUBURN,,,
WORCESTER,299,LOVELL,LAWNFAIR ST,11-Jun-2015,26-Sep-2015,2,299 LOVELL,,,
GRAFTON,7,LINCOLN,SAMUEL DR,11-Jun-2015,31-Oct-2015,2,7 LINCOLN,,,
FRAMINGHAM,79,MAIN,,12-Jun-2015,12-Jun-2015,1,79 MAIN,,,
MARLBORO,656,FARM,,12-Jun-2015,12-Jun-2015,1,656 FARM,,,
NATICK,38,PILGRIM,,12-Jun-2015,12-Jun-2015,1,38 PILGRIM,,,
MARLBORO,79,FARMINGTON,,12-Jun-2015,22-Jun-2015,2,79 FARMINGTON,,,
UPTON,4,WILLIAMS,MAIN ST,12-Jun-2015,15-Jul-2015,2,4 WILLIAMS,,,
NATICK,20,OXFORD,WHITTIER RD,12-Jun-2015,21-Oct-2015,2,20 OXFORD,,,
FRAMINGHAM,,SECOND,BEAVER PARK DR,12-Jun-2015,23-Nov-2015,2,SECOND,,,
CAMBRIDGE,945,MEMORIAL,COWPERTHWAITE ST,13-Jun-2015,13-Jun-2015,1,945 MEMORIAL,,,
CAMBRIDGE,24,HIGHLAND,APPLETON ST,13-Jun-2015,06-Jul-2015,2,24 HIGHLAND,,,
HOLLISTON,124,MOHAWK,,15-Jun-2015,15-Jun-2015,1,124 MOHAWK,,,
HYDE PARK,397,METROPOLITAN,ABBORFIELD ST,15-Jun-2015,15-Jun-2015,1,397 METROPOLITAN,,,
NEW BEDFORD,184,DAVIS,,15-Jun-2015,15-Jun-2015,1,184 DAVIS,,,
NEEDHAM,41,ROSEMARY,WEBSTER ST,15-Jun-2015,13-Oct-2015,2,41 ROSEMARY,,,
CAMBRIDGE,23-29,SURREY,BANKS ST,16-Jun-2015,16-Jun-2015,1,23-29 SURREY,,,
DARTMOUTH,181,FAUNCE CORNER,,16-Jun-2015,16-Jun-2015,1,181 FAUNCE CORNER,,,
DEDHAM,,DEDHAM,GEORGETOWN DR,16-Jun-2015,16-Jun-2015,1,DEDHAM,,,
FRAMINGHAM,24,MARIAN,PICARD TER,16-Jun-2015,16-Jun-2015,1,24 MARIAN,,,
GRAFTON,90,PROVIDENCE,,16-Jun-2015,16-Jun-2015,1,90 PROVIDENCE,,,
HYDE PARK,1116,HYDE PARK,TEMP,16-Jun-2015,16-Jun-2015,2,1116 HYDE PARK,,,
CAMBRIDGE,4,BATES,AVON HILL ST,16-Jun-2015,17-Jun-2015,2,4 BATES,,,
FRAMINGHAM,32,MARIAN,BEAVER PARK RD,16-Jun-2015,21-Nov-2015,2,32 MARIAN,,,
UXBRIDGE,16,CROSS,,16-Jun-2015,24-Nov-2015,2,16 CROSS,,,
FRAMINGHAM,64,BEAVER PARK,TARALLI TER,16-Jun-2015,17-Dec-2015,2,64 BEAVER PARK,,,
HOPEDALE,,NORTHROP,,16-Jun-2015,19-Dec-2015,2,NORTHROP,,,
GRAFTON,3,WILLIAMS,HAWTHORNE RD,17-Jun-2015,17-Jun-2015,1,3 WILLIAMS,,,
MAYNARD,36,MAIN,,17-Jun-2015,17-Jun-2015,2,36 MAIN,,,
FRAMINGHAM,175,FRANKLIN,BEECH ST,17-Jun-2015,15-Jul-2015,1,175 FRANKLIN,,,
FRAMINGHAM,23,MANSFIELD,GRANT ST,17-Jun-2015,17-Nov-2015,2,23 MANSFIELD,,,
CAMBRIDGE,,MOUNT AUBURN,@ HOLYOKE ST,18-Jun-2015,18-Jun-2015,1,MOUNT AUBURN,,,
DEDHAM,127,BUSSEY,,18-Jun-2015,18-Jun-2015,1,127 BUSSEY,,,
HOLLISTON,20,MILL,,18-Jun-2015,18-Jun-2015,1,20 MILL,,,
NATICK,10,LAKE,,18-Jun-2015,18-Jun-2015,1,10 LAKE,,,
NEW BEDFORD,1530,OLD PLAINVILLE,,18-Jun-2015,18-Jun-2015,2,1530 OLD PLAINVILLE,,,
NEW BEDFORD,128-130,IRVINGTON,,18-Jun-2015,18-Jun-2015,2,128-130 IRVINGTON,,,
NEEDHAM,1092,HIGHLAND,CARY RD,18-Jun-2015,25-Sep-2015,2,1092 HIGHLAND,,,
WORCESTER,27,STANDISH,COHASSET ST,18-Jun-2015,02-Oct-2015,2,27 STANDISH,,,
CAMBRIDGE,885,MASSACHUSETTS,ARNOLD CIR,18-Jun-2015,10-Nov-2015,2,885 MASSACHUSETTS,,,
HUDSON,,HAPGOOD,@ 54 LINCOLN ST,18-Jun-2015,24-Nov-2015,2,HAPGOOD,,,
NEEDHAM,1102,HIGHLAND,CARY RD,18-Jun-2015,27-Nov-2015,2,1102 HIGHLAND,,,
MARLBORO,,HOSMER,@ MILES STANDISH DR,19-Jun-2015,21-Nov-2015,2,HOSMER,,,
MARLBORO,719,HOSMER,CAUSEWAY ST,19-Jun-2015,25-Nov-2015,2,719 HOSMER,,,
