ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
96 GORDON,HYDE PARK,,9/17/14,2
44 CHESTERFIELD,HYDE PARK,,9/19/14,2
42560 ROXANNA,HYDE PARK,,9/23/14,2
83 ANNAFRAN,HYDE PARK,,10/6/14,2
88 ANAFRAN,HYDE PARK,,10/9/14,2
51 COMO,HYDE PARK,,10/28/14,2
75 ANNAFRAN,HYDE PARK,,10/30/14,2
89 READVILLE,HYDE PARK,,10/31/14,1
22 GEORGE,HYDE PARK,,11/7/14,2
28 GEORGE,HYDE PARK,,11/7/14,2
107 CHESTERFIELD,HYDE PARK,,11/14/14,2
55 WESTMINSTER,HYDE PARK,,11/15/14,1
61 THOMPSON,HYDE PARK,,11/19/14,2
19 HALSEY,HYDE PARK,,11/25/14,3
25 TAUNTON,HYDE PARK,,11/28/14,2
18-20 RALDNE,HYDE PARK,,12/4/14,2
MAIDA,HYDE PARK,AT RIVER ST,12/8/14,2
51 LINCOLN,HYDE PARK,,12/8/14,2
36 CLIFFORD,HYDE PARK,,12/8/14,1
48 CHESTERFIELD,HYDE PARK,,12/11/14,2
51 CHESTERFIELD,HYDE PARK,,12/11/14,2
28 BRADLEE,HYDE PARK,,12/12/14,2
50 COMO,HYDE PARK,,12/12/14,2
28 BRADLEE,HYDE PARK,,12/12/14,2
78-80 ARLINGTON,HYDE PARK,,12/15/14,2
15 MACDONALD,HYDE PARK,,12/15/14,2
1457 HYDE PARK,HYDE PARK,,12/16/14,2
1457 HYDE PARK,HYDE PARK,,12/16/14,1
24 PLEASANT,HYDE PARK,,12/19/14,
108 ARLINGTON,HYDE PARK,,12/20/14,2
189 WOOD,HYDE PARK,,12/20/14,2
120 ARLINGTON,HYDE PARK,,12/22/14,2
TRUMAN,HYDE PARK,AT WAKEFIELD AVE,12/22/14,2
25 FRIENDSHIP,HYDE PARK,,12/22/14,2
