LEAK_NO,REPORTED_HOUSE_NUMBER REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,,,
104026,58 SEARS AV,,,MEL,,,,,,9/12/1996,3,,,,
104029,40 WARWICK RD,,,MEL,,,,,,9/12/1996,3,,,,
104136,8 REV RICHARD A BURKE ST,,,SBO,,,,,,9/12/1996,3,,,,
104190,12 GREENWOOD LN,,,ACT,,,,,,9/12/1996,3,,,,
104202,1658 BEACON ST,,,BRO,,,,,,9/16/1996,3,,,,
104282,599 WALNUT ST,,,LNN,,,,,,9/5/1996,3,,,,
104284,666 WALNUT ST,,,LNN,,,,,,9/5/1996,3,,,,
104287,5 MARGIN ST,,,LNN,,,,,,9/11/1996,3,,,,
104328,417 LYNNWAY ST,,SHEPARD ST,LNN,,,,,,9/9/1996,3,,,,
104453,1744 COLUMBIA RD,,,SBO,,,,,,9/24/1996,3,,,,
104742,133 LYNNFIELD ST,,,LNN,,,,,,9/16/1996,3,,,,
104782,21 WINDING WY,,,ROC,,,,,,9/24/1996,3,,,,
104784,109 HARTSUFF ST,,,ROC,,,,,,9/24/1996,3,,,,
104853,,ADAMS ST,CENTRE ST,MIL,,,,,,10/1/1996,3,,,,
104865,17 BRAE RD,,,WEY,,,,,,9/26/1996,3,,,,
105304,110 THORNTON ST,,,ROX,,,,,,10/1/1996,3,,,,
105375,16 COOLIDGE AV,,,WEY,,,,,,9/6/1996,3,,,,
105380,31 PRESIDENTS RD,,,WEY,,,,,,9/5/1996,3,,,,
105387,68 WILSON AV,,,WEY,,,,,,9/5/1996,3,,,,
105389,399 COMMERCIAL ST,,,WEY,,,,,,9/6/1996,3,,,,
105390,327 COMMERCIAL ST,,,WEY,,,,,,9/6/1996,3,,,,
105410,76 PHILLIPS ST,,,WEY,,,,,,9/4/1996,3,,,,
105416,20 TREMONT ST,,,WEY,,,,,,9/3/1996,3,,,,
105445,118 ALBION ST,,,ROC,,,,,,8/9/1996,3,,,,
